_id,Career,Hard skill,Soft skill,Personality
1,food creator,ทักษะการทำอาหาร ทักษะทางการสอน,ไหวพริบ ทักษะการสื่อสาร การแก้ไขปัญหาเฉพาะหน้า ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา การรับมือกับผู้คนและการทำงาน,หน้าดุแต่ใจดี เคร่งขรึม มีความจริงจัง หญิงไทยใจงาม ไม่ยึดติดกับอะไร ชอบอะไรก็ทำสิ่งนั้น มีเหตุมีผล มีความอดทน ไม่ย่อท้อ มองโลกตามความเป็นจริง กล้าที่จะลองทำอะไรใหม่ ๆ มีความคิดนอกกรอบ
2,เชฟ,ทักษะการทำอาหาร,ไหวพริบ ทักษะการสื่อสาร การแก้ไขปัญหาเฉพาะหน้า ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา,ใจดี ยิ้มสู้ ตั้งใจ ขยัน อดทน ไม่ย่อท้อ ความคิดยืดหยุ่น เมื่อลงมือทำแล้วต้องทำให้สำเร็จ ไม่คิดเยอะ ทำตามใจตัวเอง ช่างคิด ช่างสังเกต ออกไปหาประสบการณ์ใหม่ ๆ อยู่เสมอ ไม่อยู่กับที่
3,tutor,ทักษะการใช้ภาษาไทย ทักษะการเล่าเรื่อง ทักษะทางการสอน,ไหวพริบ ทักษะการสื่อสาร ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา การรับมือกับผู้คนและการทำงาน,สบาย ๆ ใจดี กล้าแสดงออก เป็นตัวของตัวเอง ชอบความสนุก มีความคิดสร้างสรรค์ อยากเป็นที่ยอมรับ 
4,tutor,ทักษะการใช้ภาษาอังกฤษทั้งหมด ทักษะการเล่าเรื่อง ทักษะทางการสอน,ไหวพริบ ทักษะการสื่อสาร การแก้ไขปัญหาเฉพาะหน้า ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา การรับมือกับผู้คนและการทำงาน ทักษะการปรับตัว,สบาย ๆ ใจดี กล้าแสดงออก ชอบให้เป็นที่สนใจ ชอบความสนุก มองโลกตามความเป็นจริง มีความคิดเป็นของตนเอง รักอิสระ ทำตามใจตัวเอง กล้าได้กล้าเสีย
5,ทนายความ,ทักษะทางกฎหมาย ทักษะการวิเคราะห์เชิงเหตุผล ทักษะการวิเคราะห์ทางธุรกิจ,ไหวพริบ ทักษะการสื่อสาร การแก้ไขปัญหาที่ซับซ้อนและเฉพาะหน้า ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา การรับมือกับผู้คนและการทำงาน ความสามารถในการปรับตัว,ดุดัน เคร่งขรึม จริงจัง ไม่ย่อท้อต่ออุปสรรค กล้าได้กล้าเสีย มองโลกตามความเป็นจริง ตรงไปตรงมา รับฟังความคิดเห็นของผู้อื่น อยากเป็นที่ยอมรับ ยืดหยุ่น
6,ทนายความ,ทักษะทางกฎหมาย ทักษะการวิเคราะห์เชิงเหตุผล ทักษะการวิเคราะห์ทางธุรกิจ,ไหวพริบ ทักษะการสื่อสาร การแก้ไขปัญหาที่ซับซ้อนและเฉพาะหน้า ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา การรับมือกับผู้คนและการทำงาน ,ดุดัน เคร่งขรึม จริงจัง ไม่ย่อท้อต่ออุปสรรค กล้าได้กล้าเสีย มองโลกตามความเป็นจริง ตรงไปตรงมา รับฟังความคิดเห็นของผู้อื่น เมื่อลงมือทำต้องทำให้ถึงที่สุด
7,นักเขียนการ์ตูน ,ทักษะการวาดรูป ทักษะการเล่าเรื่องและการวางปมเรื่อง ทักษะทางด้านการ Design และ Fashion,ไหวพริบ การแก้ไขปัญหาเฉพาะหน้า ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น การบริหารเวลา การรับมือกับความเครียด,ไม่ชอบเปิดเผยตัวตน เงียบถ้าไม่ได้สนิทกัน แต่ถ้าสนิทหรือมีเรื่องที่ชอบเหมือนกันจะเป็นคนพูดเยอะ โลกส่วนตัวค่อนข้างสูง มีความคิดเป็นของตัวเอง ทำตามใจตัวเอง อยากทำอะไรก็ทำ ไม่ค่อยคิดเยอะ มีความตรงไปตรงมา ไม่ย่อท้อ จะสู้ตามแนวคิดที่เชื่อมั่น จินตนาการกว้างไกล
8,นักเขียนการ์ตูน ,ทักษะการวาดรูป ทักษะการเล่าเรื่องและการวางปมเรื่อง ,ไหวพริบ การแก้ไขปัญหาเฉพาะหน้า ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น การบริหารเวลา การรับมือกับความเครียด,ช่างสังเกต มีความคิดสร้างสรรค์ พลิกแพลงเก่ง รักสนุก มีเหตุผล มีความคิดเป็นของตัวเอง ไม่มีแบบแผนที่แน่ชัด อยากทำอะไรก็ทำ
9,นักวิทยาศาสตร์,ทักษะการวิเคราะห์เชิงเหตุผล ทักษะทางด้านคณิตศาสตร์และวิทยาศาสตร์,การแก้ไขปัญหาที่มีความซับซ้อน ทักษะการคิดวิเคราะห์และการตัดสินใจ การเรียนรู้ตลอดชีวิต ความคิดสร้างสรรค์ ทักษะการเชื่อมโยง,เงียบขรึม เก็บตัว หมกมุ่นกับสิ่งที่ชอบ ไม่สุงสิงกับใคร ความคิดทางด้านตรรกะเป็นเลิศ มีระเบียบแบบแผน แยกแยะความแตกต่างของแต่ละสิ่งได้อย่างชัดเจน ช่างสังเกต ช่างสงสัย
10,นักวิทยาศาสตร์,ทักษะการวิเคราะห์เชิงเหตุผล ทักษะทางด้านวิทยาศาสตร์,การแก้ไขปัญหาที่มีความซับซ้อน ทักษะการคิดวิเคราะห์และการตัดสินใจ การเรียนรู้ตลอดชีวิต ความคิดสร้างสรรค์,ขยัน หมกมุ่นกับสิ่งที่ชอบ ช่างสังเกต ช่างสงสัย ช่างคิด มีความคิดสร้างสรรค์เป็นเลิศ ทำตามใจตัวเอง ไม่ย่อท้อต่ออุปสรรคและความล้มเหลว
11,Streamer ,ทักษะการเล่นเกม ทักษะทางการพูด,การแก้ไขปัญหา ทักษะการคิดวิเคราะห์และการตัดสินใจ ความคิดสร้างสรรค์ ไหวพริบ การทำงานร่วมกับผู้อื่น การทำงานเป็นทีม,ขยันเล่นเกม หมกมุ่นกับสิ่งที่ชอบ ไม่ย่อท้อ ตลกหน้ามึน เป็นกันเอง ขี้อาย แต่จะกล้าแสดงออกเมื่ออยู่หน้ากล้อง สนุกสนาน ร่าเริง มุทะลุ ไม่ยอมคน ตั้งใจทำสิ่งใดก็จะทำให้ถึงที่สุด เด๋อด๋า
12,Streamer ,ทักษะการเล่นเกม ทักษะการแปลภาษาอังกฤษ ทักษะการเล่าเรื่อง ทักษะการดึงความสนใจ,มีภาวะความเป็นผู้นำ การทำงานร่วมกับผู้อื่น ทักษะการใช้คำพูด การแก้ไขปัญหา ทักษะการคิดวิเคราะห์และการตัดสินใจ ความคิดสร้างสรรค์ ไหวพริบ ความฉลาดทางอารมณ์,หมกมุ่นกับสิ่งที่ชอบ ตลก ใจดี อยากทำอะไรก็ทำ แคร์คนอื่นมาก ขี้น้อยใจ เป็นตัวของตัวเอง มีความอดทน ผิดก็ยอมรับผิดและแก้ไขในสิ่งที่ตัวเองผิดพลาด รับฟังผู้อื่น เป็นผู้นำที่ดี พลิกแพลงสถานการณ์ได้ดี กล้าแสดงออก
13,หมอ,ทักษะเฉพาะทางวิชาชีพหมอ,การแก้ไขปัญหาที่มีความซับซ้อน ทักษะการคิดวิเคราะห์และการตัดสินใจ การเรียนรู้ตลอดชีวิต ความคิดสร้างสรรค์ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา การรับมือกับผู้คนและการทำงาน,ขยัน ใจเย็น มีความรับผิดชอบ ใจดี นึกถึงผู้อื่นเสมอ ไม่ดูถูกผู้อื่น รักความสงบ มีระเบียบแบบแผน 
14,หมอ,ทักษะเฉพาะทางวิชาชีพหมอ,การแก้ไขปัญหาที่มีความซับซ้อน ทักษะการคิดวิเคราะห์และการตัดสินใจ การเรียนรู้ตลอดชีวิต ความคิดสร้างสรรค์ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา การรับมือกับผู้คนและการทำงาน,ขยัน มีความรับผิดชอบสูง มีจรรยาบรรณวิชาชีพ กล้าทำในสิ่งที่ตัวเองอยากทำ ทุ่มเทกับสิ่งที่ทำอย่างสุดความสามารถ 
